equipo local,goles local,goles visita,equipo visita
Los Angeles FC,2,1,Seattle Sounders
Minnesota United FC,4,4,Portland Timbers
Chicago Fire,0,0,Atlanta United FC
Philadelphia Union,6,0,Houston Dynamo
Montreal Impact,0,0,New York City
Inter Miami CF,4,4,FC Cincinnati
Nashville SC,1,1,Vancouver Whitecaps
New England Revolution,0,0,Toronto FC
Sporting Kansas City,0,2,Austin FC
FC Dallas,1,0,Los Angeles Galaxy
San José Earthquakes,2,2,Real Salt Lake
DC United,2,1,Orlando City
New York Red Bulls,4,5,Colorado Rapids
Charlotte FC,0,0,Columbus Crew
